"SubSeries";"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";NA
"Quaternary Period";"Quaternary Period";"Quaternary Period";"Quaternary Period";"Quaternary Period";"Quaternary Period";"Quaternary Period";"Quaternary Period";"Quaternary Period";NA
"Holocene Series";"Holocene Series";"Holocene Series";"Holocene Series";"Holocene Series";"Holocene Series";"Holocene Series";"Holocene Series";"Holocene Series";NA
"Upper";"Meghalayan Stage";"4,250 yr b2k (before 2000 CE)";"Mawmluh Cave, Meghalaya, India";"25°15'44''N; 91°42'54''E";"depth 7.45 mm in the speleothem KM-A";"Climatic - 4.2 ka event";"Ratified 2018";"Episodes 2018; 41: 213-223. (PDF)";NA
"Middle";"Northgrippian Stage";"8,236 yr b2k (before 2000 CE)";"North Greenland Ice Core Project, core NGRIP1, central Greenland ice sheet";"75.1000°N 42.3200°W";"1228.67 m in the NGRIP1 ice core";"Climatic – 8.2 ka event";"Ratified 2018";"Episodes 2018; 41: 213-223. (PDF)";NA
"Lower";"Greenlandian Stage";"11,700 yr b2k (before 2000 CE)";"North Greenland Ice Core Project, core NGRIP2, central Greenland ice sheet";"75.1000°N 42.3200°W";"1492.45 m in the NGRIP2 ice core";"Climatic - End of the Younger Dryas Chron which is reflected in an abrupt shift to lower deuterium excess values";"Holocene GSSP ratifed 2008; Lower Holocene Subseries and Greenlandian Stage ratified: 2018";"Episodes 2008; 31: 264–267
                        Episodes 2018; 41: 213-223. (PDF)";NA
"Pleistocene Series";"Pleistocene Series";"Pleistocene Series";"Pleistocene Series";"Pleistocene Series";"Pleistocene Series";"Pleistocene Series";"Pleistocene Series";"Pleistocene Series";NA
"Upper";"Upper Stage";"GSSP presently undefined but provisionally dated at ~129 ka";"GSSP not presently defined";"-";"-";"Provisionally climatic – Marine Isotope Substage 5e";"Ratified in name only 2020";"Head, M.J., Pillans, B., and Zalasiewicz, J.A., [submitted 2020]";NA
"Middle";"Chibanian Stage";"0.7741";"Chiba section, Japan";"35°17'39.6''N, 140°08'47.5''E";"lower boundary of the Byk-E tephra bed";"Magnetic – GSSP is 1.1 m below the directional midpoint of the Matuyama/Brunhes paleomagnetic reversal and occurs immediately below the top of Marine Isotope Substage 19c.";"Ratified 2020";"Episodes 2021; 44:317-347. (PDF)";NA
"Lower";"Calabrian Stage";"1.80";"Vrica, Italy";"39.0385°N 17.1348°E";"base of the marine claystone overlying the sapropelic marker Bed 'e' (Mediterranean Precession Related Sapropel, MPRS 176)";"Magnetic - ~8m below the observed top of the Olduvai (C2n) normal polarity subchron. GSSP level coincides with the transition from MIS 65 to 64";"Ratified 1985 as base of Pleistocene; Ratified 2011 as base of Calabrian";"Episodes 1985; 8:116-120; Episodes 2012; 35: 388-397Head, M.J., 2019";NA
"Lower";"Gelasian Stage";"2.58";"Monte San Nicola, Sicily, Italy";"37.1469°N 14.2035°E";"base of marly layer overlying sapropel MPRS 250";"Magnetic - Matuyama/Gauss boundary (C2r/C2An) is between ~0 and ~3 m above GSSP (Head, 2019) not ~1 m (20 kyr) below it as reported by Rio et al. (1994, 1998). GSSP level is within Marine Isotope Stage 103.";"Ratified 1996 as base of Gelasian; Ratified 2009 as base of Pleistocene and Quaternary";"Episodes 1998; 21: 82-87
                        Episodes 2010; 33: 152-158
                        Quaternary Sci. 2019; 500: 32-51,";NA
